keyword,search_volume,competition,competition_level,cpc,monthly_searches
lentils,201000,HIGH,,0.38,"[{'year': 2025, 'month': 6, 'search_volume': 201000}, {'year': 2025, 'month': 5, 'search_volume': 201000}, {'year': 2025, 'month': 4, 'search_volume': 246000}, {'year': 2025, 'month': 3, 'search_volume': 246000}, {'year': 2025, 'month': 2, 'search_volume': 201000}, {'year': 2025, 'month': 1, 'search_volume': 246000}, {'year': 2024, 'month': 12, 'search_volume': 246000}, {'year': 2024, 'month': 11, 'search_volume': 165000}, {'year': 2024, 'month': 10, 'search_volume': 201000}, {'year': 2024, 'month': 9, 'search_volume': 165000}, {'year': 2024, 'month': 8, 'search_volume': 165000}, {'year': 2024, 'month': 7, 'search_volume': 165000}]"
millets,74000,HIGH,,0.35,"[{'year': 2025, 'month': 6, 'search_volume': 74000}, {'year': 2025, 'month': 5, 'search_volume': 90500}, {'year': 2025, 'month': 4, 'search_volume': 90500}, {'year': 2025, 'month': 3, 'search_volume': 90500}, {'year': 2025, 'month': 2, 'search_volume': 74000}, {'year': 2025, 'month': 1, 'search_volume': 74000}, {'year': 2024, 'month': 12, 'search_volume': 74000}, {'year': 2024, 'month': 11, 'search_volume': 74000}, {'year': 2024, 'month': 10, 'search_volume': 74000}, {'year': 2024, 'month': 9, 'search_volume': 90500}, {'year': 2024, 'month': 8, 'search_volume': 74000}, {'year': 2024, 'month': 7, 'search_volume': 74000}]"
healthy grains,3600,HIGH,,0.38,"[{'year': 2025, 'month': 6, 'search_volume': 2400}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 4400}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 3600}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}]"
protein rich foods,74000,LOW,,0.34,"[{'year': 2025, 'month': 6, 'search_volume': 201000}, {'year': 2025, 'month': 5, 'search_volume': 165000}, {'year': 2025, 'month': 4, 'search_volume': 135000}, {'year': 2025, 'month': 3, 'search_volume': 135000}, {'year': 2025, 'month': 2, 'search_volume': 60500}, {'year': 2025, 'month': 1, 'search_volume': 49500}, {'year': 2024, 'month': 12, 'search_volume': 27100}, {'year': 2024, 'month': 11, 'search_volume': 27100}, {'year': 2024, 'month': 10, 'search_volume': 27100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 27100}]"
